mag,time,x,y,nnd,parent,T,R
1.724400026,2899.833,10.838875,38.030382,5.398021242181487e-06,2414,4.826627642063969e-05,0.11183836091141224
1.514184235,2900.143,10.3541,35.418736,8.046224784800581e-07,2415,7.413574040904567e-05,0.010853368079155004
1.569219662,2900.221,15.164476,27.982475,8.756282835515415e-07,2408,0.0006049492573493015,0.001447440876922919
1.557670009,2900.696,16.361928,22.576471,2.892150846186797e-06,1787,0.05642615792896249,5.125549837768256e-05
1.421415568,2901.38,16.311051,23.815124,8.382917720350176e-07,2418,0.00020679492477364384,0.004053734746888037
1.514125484,2901.51,14.783729,28.579804,6.245750484750461e-07,2417,0.0003834278092947497,0.0016289247501996423
1.399381022,2901.656,14.364331,31.253947,1.082707746108685e-07,2287,0.007172240631600876,1.5095808990823277e-05
1.280784172,2901.87,13.496004,28.697511,5.334914027430714e-07,2420,0.00011571184651572937,0.004610516717236475
1.33973393,2902.145,15.702641,30.140163,1.543815174120828e-06,2414,0.0008748709511194072,0.0017646204530456738
1.545982361,2902.36,12.33207,30.984842,2.5127415394222867e-06,2315,0.007843760636460867,0.0003203490845630961
1.373026098,2902.767,15.114812,30.430154,3.544183998321477e-07,2414,0.0010972533506274204,0.00032300507410570927
1.55535292,2902.841,17.105246,26.776382,9.055946218858215e-07,2412,0.0010955440149298635,0.0008266163746454289
1.40054086,2902.93,17.948233,22.847915,7.20529375063999e-07,2426,2.699533796932369e-05,0.026690881806435494
1.376966896,2903.311,17.385859,29.621518,2.182145755344728e-06,2302,0.013512638378186767,0.0001614892439412373
1.705084141,2903.435,17.763432,25.954345,5.643923427812352e-07,2426,0.00018017113206505772,0.003132534809058311
1.610300569,2903.563,14.548449,30.337237,1.4406846924434214e-07,2163,0.01681484796778233,8.567931718465783e-06
1.463215139,2903.75,15.555093,28.19454,5.564468380904875e-07,2430,5.2503132807719685e-05,0.01059835496156663
1.759882339,2903.847,18.643409,23.895826,8.587882916789166e-07,2429,0.00010124157153143843,0.008482565794746065
1.454772178,2903.982,18.75761,20.994426,2.7165590506758154e-07,1853,0.038904970535146015,6.982550078586302e-06
1.646524178,2904.344,14.78219,28.996577,6.862162250659673e-07,2420,0.0009109093695162664,0.0007533309547912311
1.500107533,2904.492,19.678532,21.997149,9.697995708180082e-07,2433,0.0001781931784341818,0.005442405704527109
1.663271066,2904.821,20.331321,16.489888,5.210487101873624e-06,2435,0.00010785285161093621,0.04831107406107085
1.417662936,2904.899,18.369549,22.870646,5.692543781699882e-07,2432,0.000239339024642811,0.002378443628319879
1.508161659,2905.448,14.525284,29.517556,3.133411918899337e-07,2434,0.0002945722524745217,0.001063715910978531
1.475951803,2906.287,13.087999,34.423165,1.0016309896136114e-05,2392,0.004244412823906196,0.0023598811688910963
1.562148075,2906.397,15.148491,31.016798,1.097068818698864e-06,2439,3.730608864187699e-05,0.029407232401934987
1.316019913,2906.509,15.278043,30.252163,6.39944886794097e-08,2440,3.3648611999383646e-05,0.0019018463133213908
1.482379729,2906.678,17.534804,26.297696,3.21113302505535e-08,2409,0.002017979426843497,1.591261527417141e-05
1.405206473,2906.813,16.867231,25.954581,9.161480331661381e-08,2442,4.5372784031790315e-05,0.0020191576353883016
1.286830341,2907.735,13.936041,26.470241,7.044272166515384e-06,2443,0.00034539842430956314,0.020394627394715495
1.407024345,2907.872,16.574004,30.068633,2.7909622312849897e-06,2444,6.061768301146926e-05,0.04604204734709047
1.309399257,2908.159,17.516947,26.701107,3.7275311612775695e-07,2442,0.000497756245562836,0.0007488667785700363
1.500377102,2908.258,19.440115,27.915267,6.439801106380415e-07,2446,4.243573111438351e-05,0.015175421601721046
1.209954132,2908.427,16.049657,31.767265,1.8496928457520427e-06,2445,0.00020738258578437065,0.008919229349735712
1.453851632,2908.525,13.710245,28.791214,9.038099674180292e-07,2327,0.009819698975691984,9.204049631820193e-05
1.577610395,2908.657,15.04759,30.689097,3.49870451995725e-07,2440,0.0006789809207014289,0.0005152876043030598
1.578064969,2908.88,16.578287,21.699195,6.046894327705681e-06,2418,0.0024742831350103153,0.002443897483737435
1.441136551,2909.211,15.547259,24.327121,1.4291448711252565e-06,2451,9.724271540438953e-05,0.014696677948390005
1.518761335,2909.279,15.631298,26.342783,2.520825418357456e-07,2452,2.421903006751938e-05,0.010408449105227318
1.686785817,2910.281,16.954193,23.5595,2.3294787410649186e-07,2359,0.006427542935466951,3.6242134272039454e-05
1.410316203,2910.495,18.304875,30.893948,3.2205304417425943e-06,2454,5.395724446749393e-05,0.05968671071931359
1.300273348,2910.71,16.29154,33.382621,1.8193688331484815e-06,2455,7.996639299328341e-05,0.022751668107642356
1.371781862,2910.828,15.41228,30.32195,3.608029230672995e-07,2441,0.0018341575161763607,0.00019671316115720515
1.549059803,2911.387,18.4345,25.140672,2.302165398665696e-06,2454,0.00027886314196764713,0.008255538478200129
1.453511198,2911.553,17.857042,30.003239,1.3847464454529766e-06,2455,0.0003935090408690047,0.003518969837122358
1.56360512,2912.182,19.000898,23.170224,2.2325629320334326e-06,2458,0.00024328141867987707,0.009176874025760102
1.371864261,2912.584,15.231454,28.574511,5.137459600049697e-07,2364,0.00771843242860364,6.656091955940239e-05
1.488480085,2912.698,16.432504,27.139747,4.552324046762113e-07,2461,4.475643999885174e-05,0.010171327404232568
1.425247763,2912.845,18.58016,25.7672,6.407689873273887e-07,2458,0.0004461689414281017,0.0014361577596065055
1.619543269,2913.353,17.698391,23.258114,1.3068521441702184e-06,2454,0.0007745638084308071,0.0016872104401802314
1.528481289,2914.156,17.22679,20.373032,3.2628359212116084e-06,2464,0.00022254347835991503,0.014661566113991848
1.660344512,2914.399,20.664995,17.274071,1.4060101288412423e-06,1279,0.1026326909173236,1.3699437443122897e-05
1.552862187,2914.557,14.242129,20.786404,2.2093339996305236e-06,2465,0.0001263144297941692,0.017490749103096604
1.437767987,2914.987,17.002943,33.897153,4.1698094615016135e-06,2405,0.0068214311314018315,0.0006112807387743429
1.419355674,2915.333,15.083488,31.641423,1.0228552673836473e-06,2377,0.008346758433628806,0.00012254521027739324
1.437354622,2915.443,18.56314,31.648972,1.0370884282505502e-06,2469,4.0396296764437464e-05,0.025672858933038188
1.435219304,2915.577,16.767219,27.338432,6.716352233993294e-07,2462,0.0009593520104139525,0.0007000925792707979
